"INDEX",,"Year","Age","Female","Male","Total","ln(mx)","a^","Z",,,
1,0,"1751-1754",0,0.2264,0.2556,0.2412,-1.4222,-0.0002,-1.4004,,,
2,1,"1751-1754",1,0.0589,0.0628,0.0608,-2.7995,-0.0012,-2.7777,,,
3,2,"1751-1754",2,0.0386,0.0412,0.0398,-3.2227,-0.0018,-3.2008,,,
4,3,"1751-1754",3,0.0286,0.0302,0.0294,-3.5273,-0.0024,-3.5054,,,
5,4,"1751-1754",4,0.0256,0.0272,0.0264,-3.6356,-0.0031,-3.6137,,,
6,5,"1751-1754",5,0.0220,0.0239,0.0229,-3.7746,-0.0038,-3.7527,,,
7,6,"1751-1754",6,0.0157,0.0173,0.0165,-4.1055,-0.0045,-4.0836,,,5994
8,7,"1751-1754",7,0.0110,0.0122,0.0116,-4.4586,-0.0053,-4.4367,,,
9,8,"1751-1754",8,0.0078,0.0088,0.0083,-4.7943,-0.0061,-4.7724,,,
10,9,"1751-1754",9,0.0062,0.0069,0.0065,-5.0289,-0.0070,-5.0070,,,
11,10,"1751-1754",10,0.0059,0.0063,0.0061,-5.0960,-0.0078,-5.0742,,,
12,11,"1751-1754",11,0.0061,0.0064,0.0063,-5.0678,-0.0087,-5.0460,,,
13,12,"1751-1754",12,0.0063,0.0065,0.0064,-5.0490,-0.0095,-5.0271,,,
14,13,"1751-1754",13,0.0064,0.0065,0.0065,-5.0383,-0.0104,-5.0164,,,
15,14,"1751-1754",14,0.0065,0.0065,0.0065,-5.0350,-0.0112,-5.0132,,,
16,15,"1751-1754",15,0.0065,0.0065,0.0065,-5.0424,-0.0120,-5.0206,,,
17,16,"1751-1754",16,0.0061,0.0062,0.0062,-5.0858,-0.0129,-5.0639,,,
18,17,"1751-1754",17,0.0059,0.0062,0.0060,-5.1079,-0.0137,-5.0860,,,
19,18,"1751-1754",18,0.0058,0.0064,0.0061,-5.1039,-0.0146,-5.0820,,,
20,19,"1751-1754",19,0.0058,0.0068,0.0063,-5.0733,-0.0154,-5.0514,,,
21,20,"1751-1754",20,0.0059,0.0074,0.0066,-5.0199,-0.0163,-4.9981,,,
22,21,"1751-1754",21,0.0062,0.0081,0.0071,-4.9471,-0.0171,-4.9252,,,
23,22,"1751-1754",22,0.0066,0.0086,0.0075,-4.8882,-0.0179,-4.8663,,,
24,23,"1751-1754",23,0.0069,0.0090,0.0079,-4.8455,-0.0187,-4.8236,,,
25,24,"1751-1754",24,0.0072,0.0091,0.0081,-4.8176,-0.0195,-4.7957,,,
26,25,"1751-1754",25,0.0075,0.0090,0.0082,-4.8013,-0.0203,-4.7794,,,
27,26,"1751-1754",26,0.0076,0.0088,0.0082,-4.8020,-0.0211,-4.7802,,,
